-aik,dollar
aja'sit,moves ahead
a'jel-,inappropriate
a'jelamuksitl,worthless
a'jela'sɨk,hinderance
a'jela'sit,be_a_hinderance
ajela'teket,can't_do_more (influencing_or_convincing)
a'jelisink,lie_in_way
a'jelpit,sit_in_way
a'jelpukuit,stand_in_way
a'jeltek,in_the_way
aji-,much
aji-apje'jk,least
ajiaq,more
ajiaq_suliewei,interest
ajiet,o'clock
a'jijkopilaqn,bandage
a'jijkopilatl,bandage
a'jijkopilk,bandage
ajiklu'lk,better_than
ajiklu'sit,better_than
ajioqjimin,blackberry
ajioqjimin,blackberry
ajioqjomin,blackberry
ajipjulatl,encourage
ajipjutoq,encourage_(lifestyle)
aji-pjutu,hope
aji-pukwelk,more
ajipukwelnaji,have_much_more_than
ajipukwelnɨk,have_much_more_than
aji-punai,birthday
ajipuna't,age_in_years
ajiwinjik,worse
ajiwinjit,worse
aji-wla'tu,improve
aji-wla'tu,refine
ajknewa'toq,harm
akase'wa'latl,trades
akase'wa'toq,hire
akase'wi,pawn
akase'wit,enlist
akase'wuti,pawn
aknimatl,talk_about
aknimuet,proclaim
aknuta'sit,famed
aknutk,talk_about
aknutmajik,talk_to_each_other
aknutmaq,tell
aknutmaqn,discussion
aknutmuatl,tell_to
akoqomaw,herring
akukmekw,herring
akumatultiek,cousins
a'kusn,moss
a'kwesn,hat
ala,that
alae'l,
ala'latl,go_around_ with
alali'kiey,snow
ala'lukwet,float_around
ala'lukwey,dancing around
alamatl,look_around_for
alame's,mass
alamkutekl,scatter
alamte'k,pat baby to sleep
alanj,herring
alankualatl,peddle_about
alankuat,shopping
alankuetoq,peddle_about
alanku'sit,peddle
alapaqtekl,scattered
alapilaqn,knapsack
alapilawemkewei,stretcher
alapit,look_about
alaptɨk,look_around_for
alaqami'k,snowshoe
alaqteket,sail_about
alasenmat,fish with_light
ala'sɨk,go_about
ala'sit,go_about
alasui'm,wade through the snow
ala'suinu,vagabond
alasukwet,wade_about
alasumteket,wade_through_snow
alasutmapekia'timk,hymns
alasutmaqn,prayer
alasutmaqnapekiaqn,hymn
alasutmaqnintu,hymn singing
alasutmat,pray
alasutmaykɨpo',pray
